Arkivtema-Behandlingstype,Arkivtema,Behandlingstema,Behandlingstype
DAGP;DAGP;PERM-O,DAG,ab0005,ae0014
DAGP;DAGP;PERM-S,DAG,ab0005,ae0032
DAGP;DAGP;PERM-T,DAG,ab0005,ae0036
FEILUTBE;;AAP-K,FEI,ab0014,ae0037
FEILUTBE;;ADAGR-K,FEI,ab0217,ae0037
FEILUTBE;;ATIU-K,FEI,ab0128,ae0037
FEILUTBE;;ATTP-K,FEI,ab0114,ae0037
FEILUTBE;;DAGO-K,FEI,ab0001,ae0037
FEILUTBE;;LONN-K,FEI,ab0004,ae0037
FEILUTBE;;TILBBET-E,FEI,ab0007,ae0052
FEILUTBE;;TILBBET-G,FEI,ab0007,ae0047
FEILUTBE;;TILBBET-O,FEI,ab0007,ae0014
FEILUTBE;;TILBBET-S,FEI,ab0007,ae0032
FEILUTBE;;UTESTENG-E,FEI,ab0008,ae0052
FEILUTBE;;UTESTENG-O,FEI,ab0008,ae0014
FEILUTBE;;UTESTENG-S,FEI,ab0008,ae0032
INDIV;BASI;BASI-E,IND,ab0020,ae0052
INDIV;BASI;BASI-G,IND,ab0020,ae0047
INDIV;BASI;BASI-K,IND,ab0020,ae0037
INDIV;BASI;BASI-O,IND,ab0020,ae0014
INDIV;BASI;BASI-S,IND,ab0020,ae0032
INDIV;BASI;INDIVFADD-O,IND,ab0023,ae0014
INDIV;;FRI_MK_IND-O,IND,ab0112,ae0014
INDIV;;FRI_MK_IND-S,IND,ab0112,ae0032
INDIV;TILST;BORT-E,IND,ab0140,ae0052
INDIV;TILST;BORT-O,IND,ab0140,ae0014
INDIV;TILST;BORT-S,IND,ab0140,ae0032
INDIV;TILST;BTIL-E,IND,ab0048,ae0052
INDIV;TILST;BTIL-G,IND,ab0048,ae0047
INDIV;TILST;BTIL-K,IND,ab0048,ae0037
INDIV;TILST;BTIL-O,IND,ab0048,ae0014
INDIV;TILST;BTIL-S,IND,ab0048,ae0032
INDIV;TILST;IDAG-E,IND,ab0204,ae0052
INDIV;TILST;IDAG-O,IND,ab0204,ae0014
INDIV;TILST;IDAG-S,IND,ab0204,ae0032
INDIV;TILST;IEKS-E,IND,ab0169,ae0052
INDIV;TILST;IEKS-O,IND,ab0169,ae0014
INDIV;TILST;IEKS-S,IND,ab0169,ae0032
INDIV;TILST;IREI-E,IND,ab0015,ae0052
INDIV;TILST;IREI-O,IND,ab0015,ae0014
INDIV;TILST;IREI-S,IND,ab0015,ae0032
INDIV;TILST;ISEM-E,IND,ab0196,ae0052
INDIV;TILST;ISEM-O,IND,ab0196,ae0014
INDIV;TILST;ISEM-S,IND,ab0196,ae0032
INDIV;TILST;ISKO-E,IND,ab0177,ae0052
INDIV;TILST;ISKO-O,IND,ab0177,ae0014
INDIV;TILST;ISKO-S,IND,ab0177,ae0032
INDIV;TILST;IUND-E,IND,ab0117,ae0052
INDIV;TILST;IUND-O,IND,ab0117,ae0014
INDIV;TILST;IUND-S,IND,ab0117,ae0032
INDIV;TILST;LREF-E,IND,ab0043,ae0052
INDIV;TILST;LREF-O,IND,ab0043,ae0014
INDIV;TILST;LREF-S,IND,ab0043,ae0032
INDIV;TILST;NVURD-E,IND,ab0103,ae0052
INDIV;TILST;NVURD-O,IND,ab0103,ae0014
INDIV;TILST;NVURD-S,IND,ab0103,ae0032
INDIV;TILST;TILO-E,IND,ab0080,ae0052
INDIV;TILST;TILO-O,IND,ab0080,ae0014
INDIV;TILST;TILO-S,IND,ab0080,ae0032
INDIV;TILST;TILU-E,IND,ab0128,ae0052
INDIV;TILST;TILU-K,IND,ab0128,ae0037
INDIV;TILST;TILU-O,IND,ab0128,ae0014
INDIV;TILST;TILU-S,IND,ab0128,ae0032
INDIV;VENT;VENT-E,IND,ab0203,ae0052
INDIV;VENT;VENT-O,IND,ab0203,ae0014
INDIV;VENT;VENT-S,IND,ab0203,ae0032
KLAN;;ANKE-E,KLA,ab0165,ae0052
KLAN;;ANKE-O,KLA,ab0165,ae0014
KLAN;;KLAG1-E,KLA,ab0019,ae0052
KLAN;;KLAG1-O,KLA,ab0019,ae0014
KLAN;;KLAG2-E,KLA,ab0164,ae0052
KLAN;;KLAG2-O,KLA,ab0164,ae0014
MOBIL;MOBST;BREI-E,MOB,ab0092,ae0052
MOBIL;MOBST;BREI-O,MOB,ab0092,ae0014
MOBIL;MOBST;BREI-S,MOB,ab0092,ae0032
MOBIL;MOBST;FREI-E,MOB,ab0051,ae0052
MOBIL;MOBST;FREI-O,MOB,ab0051,ae0014
MOBIL;MOBST;FREI-S,MOB,ab0051,ae0032
MOBIL;MOBST;FSTO-E,MOB,ab0178,ae0052
MOBIL;MOBST;FSTO-K,MOB,ab0178,ae0037
MOBIL;MOBST;FSTO-O,MOB,ab0178,ae0014
MOBIL;MOBST;FSTO-S,MOB,ab0178,ae0032
MOBIL;MOBST;HREI-E,MOB,ab0015,ae0052
MOBIL;MOBST;HREI-O,MOB,ab0015,ae0014
MOBIL;MOBST;HREI-S,MOB,ab0015,ae0032
MOBIL;MOBST;IFLY-E,MOB,ab0182,ae0052
MOBIL;MOBST;IFLY-O,MOB,ab0182,ae0014
MOBIL;MOBST;IFLY-S,MOB,ab0182,ae0032
MOBIL;MOBST;MITR-E,MOB,ab0207,ae0052
MOBIL;MOBST;MITR-O,MOB,ab0207,ae0014
MOBIL;MOBST;MITR-S,MOB,ab0207,ae0032
MOBIL;MOBST;RSTO-E,MOB,ab0040,ae0052
MOBIL;MOBST;RSTO-O,MOB,ab0040,ae0014
MOBIL;MOBST;RSTO-S,MOB,ab0040,ae0032
MOBIL;MOBST;SREI-E,MOB,ab0016,ae0052
MOBIL;MOBST;SREI-O,MOB,ab0016,ae0014
MOBIL;MOBST;SREI-S,MOB,ab0016,ae0032
SANKSJON_A;;SANK_A-E,SAK,ab0127,ae0052
SANKSJON_A;;SANK_A-N,SAK,ab0127,ae0026
SANKSJON_A;;SANK_A-O,SAK,ab0127,ae0014
SANKSJON;;SANK_S-N,SAP,ab0175,ae0026
SANKSJON;;SANK_S-O,SAP,ab0175,ae0014
SANKSJON;;SANK_S-S,SAP,ab0175,ae0032
TILSTOVER;TSTOV;TSOBOUTG-E,TSO,ab0286,ae0052
TILSTOVER;TSTOV;TSOBOUTG-O,TSO,ab0286,ae0014
TILSTOVER;TSTOV;TSOBOUTG-S,TSO,ab0286,ae0032
TILSTOVER;TSTOV;TSODAGREIS-E,TSO,ab0288,ae0052
TILSTOVER;TSTOV;TSODAGREIS-O,TSO,ab0288,ae0014
TILSTOVER;TSTOV;TSODAGREIS-S,TSO,ab0288,ae0032
TILSTOVER;TSTOV;TSOFLYTT-E,TSO,ab0290,ae0052
TILSTOVER;TSTOV;TSOFLYTT-O,TSO,ab0290,ae0014
TILSTOVER;TSTOV;TSOFLYTT-S,TSO,ab0290,ae0032
TILSTOVER;TSTOV;TSOLMIDLER-E,TSO,ab0292,ae0052
TILSTOVER;TSTOV;TSOLMIDLER-O,TSO,ab0292,ae0014
TILSTOVER;TSTOV;TSOLMIDLER-S,TSO,ab0292,ae0032
